종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","1343000","-17000","-1.25","197823009591000"
"005380","현대차","230000","-4000","-1.71","50663590170000"
"012330","현대모비스","295000","-6000","-1.99","28716439585000"
"000660","SK하이닉스","40150","450","1.13","28514565773650"
"005490","POSCO","307500","9000","3.02","26809951762500"
"015760","한국전력","39500","-50","-0.13","25357581041500"
"035420","NAVER","738000","8000","1.10","24326457102000"
"000270","기아차","57300","-400","-0.69","23227319783100"
"055550","신한지주","45000","500","1.12","21338981415000"
"032830","삼성생명","96100","200","0.21","19220000000000"
"051910","LG화학","263000","1000","0.38","17429299300000"
"017670","SK텔레콤","213500","7500","3.64","17239209298500"
"009540","현대중공업","193500","-3500","-1.78","14706000000000"
"105560","KB금융","35200","250","0.72","13599579593600"
"000810","삼성화재","245000","2000","0.82","11606835065000"
"033780","KT&G","82800","900","1.10","11367818751600"
"066570","LG전자","68700","-3000","-4.18","11242604821800"
"096770","SK이노베이션","118000","-1500","-1.26","10910936552000"
"086790","하나금융지주","36350","-100","-0.27","10537649153700"
"000830","삼성물산","64800","300","0.47","10122911107200"
"023530","롯데쇼핑","320000","1000","0.31","10077085440000"
"003550","LG","57500","-1400","-2.38","9922035032500"
"034220","LG디스플레이","27450","-400","-1.44","9822040965000"
"053000","우리금융","11650","0","0.00","9390078711000"
"086280","현대글로비스","243500","2500","1.04","9131250000000"
"003600","SK","183000","-5000","-2.66","8594011596000"
"030200","KT","32800","200","0.61","8564467302400"
"004020","현대제철","67500","0","0.00","7867110420000"
"090430","아모레퍼시픽","1335000","55000","4.30","7804208415000"
"051900","LG생활건강","472000","2000","0.43","7371788984000"
"024110","기업은행","12700","100","0.79","7016942265300"
"034730","SK C&C","141500","-1000","-0.70","7075000000000"
"010950","S-Oil","60400","0","0.00","6800000636800"
"006400","삼성SDI","151000","0","0.00","6879309491000"
"010140","삼성중공업","28200","-100","-0.35","6510685885200"
"139480","이마트","236000","-1500","-0.63","6578693284000"
"010130","고려아연","340500","-500","-0.15","6425235000000"
"035250","강원랜드","29850","850","2.93","6386123925000"
"021240","코웨이","81500","3100","3.95","6285670874000"
"000720","현대건설","55800","500","0.90","6213651687000"
"088350","한화생명","6720","-100","-1.47","5836521600000"
"036460","한국가스공사","61800","100","0.16","5704943400000"
"042660","대우조선해양","29900","-800","-2.61","5722583664200"
"011170","롯데케미칼","163000","-4000","-2.40","5586893297000"
"002380","KCC","514000","6000","1.18","5407280000000"
"009150","삼성전기","66200","-3000","-4.34","4944722675200"
"001800","오리온","788000","-1000","-0.13","4707604196000"
"018880","한라비스테온공조","43100","-1350","-3.04","4601356000000"
"032640","LG유플러스","10150","0","0.00","4431605314150"
"078930","GS","48100","-200","-0.41","4469229681800"
"036570","엔씨소프트","205000","1500","0.74","4495449510000"
"010060","OCI","181000","0","0.00","4316736151000"
"029780","삼성카드","37450","600","1.63","4338915467950"
"011210","현대위아","170000","2000","1.19","4374120230000"
"002790","아모레G","534000","10000","1.91","4260838332000"
"047050","대우인터내셔널","36250","350","0.97","4128015548750"
"097950","CJ제일제당","310000","11500","3.85","4060999380000"
"005830","동부화재","57000","-300","-0.52","4035600000000"
"034020","두산중공업","34800","50","0.14","3694307308800"
"001040","CJ","125000","500","0.40","3631106000000"
"047040","대우건설","8560","80","0.94","3557729781280"
